251,HEROMOTOCO,31-May-18,200,3697.25,92576,37030,CALCULATE
254,HEXAWARE,31-May-18,3000,386.15,148612,59445,CALCULATE
257,HINDALCO,31-May-18,3500,228.4,100170,40068,CALCULATE
260,HINDPETRO,31-May-18,1575,377.35,74446,29778,CALCULATE
263,HINDUNILVR,31-May-18,600,1320.1,99033,39613,CALCULATE
266,HINDZINC,31-May-18,3200,323.4,129600,51840,CALCULATE
269,IBULHSGFIN,31-May-18,400,1257.15,62891,25156,CALCULATE
272,ICICIBANK,31-May-18,2750,306,105627,42251,CALCULATE
275,ICICIPRULI,31-May-18,1300,388.75,63254,25301,CALCULATE
278,IDBI,31-May-18,10000,80.1,231500,92600,CALCULATE
281,IDEA,31-May-18,7000,81.4,71960,28784,CALCULATE
284,IDFC,31-May-18,13200,52.05,86757,34702,CALCULATE
287,IDFCBANK,31-May-18,9000,51.05,57802,23121,CALCULATE
290,IFCI,31-May-18,22000,22.35,123035,49214,CALCULATE
293,IGL,31-May-18,2750,302.95,104355,41742,CALCULATE
296,INDIACEM,31-May-18,3500,153.1,72012,28805,CALCULATE
299,INDIANB,31-May-18,2000,309.35,97455,38982,CALCULATE
305,INDIGO,31-May-18,600,1285.35,96406,38562,CALCULATE
308,INDUSINDBK,31-May-18,300,1768.75,66356,26542,CALCULATE
311,INFIBEAM,31-May-18,4000,154.05,77804,31121,CALCULATE
314,INFRATEL,31-May-18,1700,343.15,73129,29251,CALCULATE
317,INFY,31-May-18,600,1200.85,90079,36031,CALCULATE
320,IOC,31-May-18,3000,195.05,73237,29295,CALCULATE
323,IRB,31-May-18,2500,221.2,83225,33290,CALCULATE
326,ITC,31-May-18,2400,268.85,81126,32450,CALCULATE
329,JETAIRWAYS,31-May-18,1200,733.1,167340,66936,CALCULATE
332,JINDALSTEL,31-May-18,4500,234.3,269392,107757,CALCULATE
335,JISLJALEQS,31-May-18,9000,114.05,261067,104427,CALCULATE
338,JPASSOCIAT,31-May-18,34000,19.5,246874,98749,CALCULATE
341,JSWSTEEL,31-May-18,3000,299,112650,45060,CALCULATE
344,JUBLFOOD,31-May-18,500,2180.4,136305,54522,CALCULATE
347,JUSTDIAL,31-May-18,1400,457.65,122653,49061,CALCULATE
350,KAJARIACER,31-May-18,800,576.1,57740,23096,CALCULATE
353,KOTAKBANK,31-May-18,800,1102.5,110476,44190,CALCULATE
356,KPIT,31-May-18,4500,234.9,141232,56493,CALCULATE
359,KSCL,31-May-18,1500,501.65,99153,39661,CALCULATE
362,KTKBANK,31-May-18,3800,125.6,67564,27025,CALCULATE
365,L&TFH,31-May-18,4500,164.6,92925,37170,CALCULATE
368,LICHSGFIN,31-May-18,1100,531.35,73125,29250,CALCULATE
371,LT,31-May-18,750,1315.2,123457,49383,CALCULATE
374,LUPIN,31-May-18,600,789.15,59224,23689,CALCULATE
377,M&M,31-May-18,1000,746.25,93502,37401,CALCULATE
380,M&MFIN,31-May-18,1250,442.25,69253,27701,CALCULATE
383,MANAPPURAM,31-May-18,6000,109.5,86610,34644,CALCULATE
386,MARICO,31-May-18,2600,305.8,99840,39936,CALCULATE
389,MARUTI,31-May-18,75,8929.7,83977,33590,CALCULATE
392,MCDOWELL-N,31-May-18,250,3206.95,107586,43034,CALCULATE
395,MCX,31-May-18,500,837.9,59817,23927,CALCULATE
398,MFSL,31-May-18,1000,465.9,58415,23366,CALCULATE
401,MGL,31-May-18,600,1047.35,78634,31453,CALCULATE
404,MINDTREE,31-May-18,1200,856.75,158829,63531,CALCULATE
407,MOTHERSUMI,31-May-18,1600,318,63872,25548,CALCULATE
410,MRF,31-May-18,15,72849.75,136847,54739,CALCULATE
413,MRPL,31-May-18,4500,120.1,67792,27117,CALCULATE
416,MUTHOOTFIN,31-May-18,1500,403.8,82950,33180,CALCULATE
419,NATIONALUM,31-May-18,8000,66.85,72340,28936,CALCULATE
422,NBCC,31-May-18,3000,201.25,80257,32103,CALCULATE
425,NCC,31-May-18,8000,128.35,140860,56344,CALCULATE
428,NESTLEIND,31-May-18,100,7839.5,98078,39231,CALCULATE
431,NHPC,31-May-18,27000,27.3,94635,37854,CALCULATE
452,NIITTECH,31-May-18,1500,1004.15,234911,93964,CALCULATE
455,NMDC,31-May-18,6000,126.25,95895,38358,CALCULATE
458,NTPC,31-May-18,4000,172.55,86630,34652,CALCULATE
461,OFSS,31-May-18,150,3983.5,74801,29920,CALCULATE
464,OIL,31-May-18,2266,342.95,97228,38891,CALCULATE
467,ONGC,31-May-18,3750,183.1,86231,34492,CALCULATE
470,ORIENTBANK,31-May-18,6000,102.45,172125,68850,CALCULATE
473,PAGEIND,31-May-18,50,21511.85,139756,55902,CALCULATE
476,PCJEWELLER,31-May-18,1500,368.7,129987,51994,CALCULATE
479,PEL,31-May-18,302,2488.85,94058,37623,CALCULATE
482,PETRONET,31-May-18,3000,241.1,90825,36330,CALCULATE
485,PFC,31-May-18,6000,89.45,72615,29046,CALCULATE
488,PIDILITIND,31-May-18,1000,923.65,115512,46205,CALCULATE
491,PNB,31-May-18,4000,99.75,125945,50378,CALCULATE
494,POWERGRID,31-May-18,4000,197.85,99010,39604,CALCULATE
497,PTC,31-May-18,8000,98.4,99600,39840,CALCULATE
500,PVR,31-May-18,400,1332.6,66680,26672,CALCULATE
503,RAMCOCEM,31-May-18,800,761.9,76324,30529,CALCULATE
506,RAYMOND,31-May-18,800,956.7,117090,46836,CALCULATE
509,RBLBANK,31-May-18,1000,483.75,60527,24211,CALCULATE
512,RCOM,31-May-18,28000,23.9,320721,128288,CALCULATE
515,RECLTD,31-May-18,6000,130.95,107085,42834,CALCULATE
518,RELCAPITAL,31-May-18,750,452.8,80437,32175,CALCULATE
521,RELIANCE,31-May-18,1000,922.9,115875,46350,CALCULATE
524,RELINFRA,31-May-18,1300,456.45,88390,35356,CALCULATE
527,REPCOHOME,31-May-18,900,584.6,66528,26611,CALCULATE
530,RNAVAL,31-May-18,9000,36.5,67536,27014,CALCULATE
533,RPOWER,31-May-18,13000,40.6,97825,39130,CALCULATE
536,SAIL,31-May-18,12000,76.5,284880,113952,CALCULATE
539,SBIN,31-May-18,3000,255.65,96667,38667,CALCULATE
542,SHREECEM,31-May-18,50,17076.3,106728,42691,CALCULATE
545,SIEMENS,31-May-18,500,1150.15,72018,28807,CALCULATE
548,SOUTHBANK,31-May-18,33141,26.05,110773,44309,CALCULATE
551,SREINFRA,31-May-18,5000,84.95,62937,25175,CALCULATE
554,SRF,31-May-18,500,1906.85,119236,47694,CALCULATE
